"batch","model","cause","mean","lower","upper","true","csmf_acc"
"batch8","Local : KE","congenital malformation",0.00250524048351498,6.17318471571284e-05,0.00917685200863486,0.0910891089108911,0.7668
"batch8","Local : KE","infection",0.00388714339084461,9.34429727040481e-05,0.0138868072094089,0.0257425742574257,0.7668
"batch8","Local : KE","IPRE",0.744748363184854,0.683487292637137,0.810204089119036,0.562376237623762,0.7668
"batch8","Local : KE","other",0.0183632163511622,0.00355513940430411,0.0463634941199941,0.0514851485148515,0.7668
"batch8","Local : KE","pneumonia",0.0644791776949556,0.0265699204386533,0.110730756532121,0.0178217821782178,0.7668
"batch8","Local : KE","prematurity",0.114396560150206,0.0515122240627193,0.177806950039939,0.154455445544554,0.7668
"batch8","Local : KE","sepsis",0.0483165086867776,0.0167328033682739,0.0927325819755169,0.0633663366336634,0.7668
"batch8","Local : KE","undetermined",0.0033037900576855,9.98991831052945e-05,0.0122742582783727,0.0336633663366337,0.7668
"batch8","Local : MZ","congenital malformation",0.00593278482019181,0.000249977756720307,0.0190900938762236,0.0910891089108911,0.6873
"batch8","Local : MZ","infection",0.0837094355375335,0.0278009609719048,0.164977517909372,0.0257425742574257,0.6873
"batch8","Local : MZ","IPRE",0.805860285015409,0.715234470064977,0.890121258146585,0.562376237623762,0.6873
"batch8","Local : MZ","other",0.0036966747154445,0.00010113042740559,0.0137013666402178,0.0514851485148515,0.6873
"batch8","Local : MZ","pneumonia",0.00481488723258315,0.00016905205165952,0.0156854722279731,0.0178217821782178,0.6873
"batch8","Local : MZ","prematurity",0.0240572601929509,0.00326419775689439,0.0599047588453004,0.154455445544554,0.6873
"batch8","Local : MZ","sepsis",0.0690011157638325,0.0268291797921776,0.122402855111225,0.0633663366336634,0.6873
"batch8","Local : MZ","undetermined",0.00292755672205441,6.65065177260168e-05,0.0108151556371065,0.0336633663366337,0.6873
"batch8","Local : ZA","congenital malformation",0.0970692285231269,0.0434503908127474,0.167401261277064,0.0910891089108911,0.9088
"batch8","Local : ZA","infection",0.0509460878777219,0.00744548019504363,0.13338918514136,0.0257425742574257,0.9088
"batch8","Local : ZA","IPRE",0.574495584431555,0.439687006869668,0.685564308804231,0.562376237623762,0.9088
"batch8","Local : ZA","other",0.00721313551699212,0.000349402083406139,0.0237688356527217,0.0514851485148515,0.9088
"batch8","Local : ZA","pneumonia",0.00291126017918707,6.14068430491827e-05,0.0110878265405354,0.0178217821782178,0.9088
"batch8","Local : ZA","prematurity",0.15704602126102,0.107721763398898,0.211521603522655,0.154455445544554,0.9088
"batch8","Local : ZA","sepsis",0.107056295258284,0.0329239729325733,0.214577302323122,0.0633663366336634,0.9088
"batch8","Local : ZA","undetermined",0.00326238695211369,7.48597978932559e-05,0.0111009422809824,0.0336633663366337,0.9088
"batch8","BFL","congenital malformation",0.0398134411182908,0.0196569372046957,0.064443396616311,0.0910891089108911,0.7785
"batch8","BFL","infection",0.0109700344798365,0.000689045270277035,0.0285526523221836,0.0257425742574257,0.7785
"batch8","BFL","IPRE",0.772273304551738,0.728386918136399,0.813078368902716,0.562376237623762,0.7785
"batch8","BFL","other",0.00227250500255265,5.51783853532391e-05,0.00837984332339834,0.0514851485148515,0.7785
"batch8","BFL","pneumonia",0.0255227947353761,0.0105941674641195,0.0446115787047684,0.0178217821782178,0.7785
"batch8","BFL","prematurity",0.129393900430585,0.0970880921533916,0.164354597357573,0.154455445544554,0.7785
"batch8","BFL","sepsis",0.0168805155594492,0.00496176686928723,0.0339385698863716,0.0633663366336634,0.7785
"batch8","BFL","undetermined",0.00287350412217197,0.00010516277264655,0.0095046783427576,0.0336633663366337,0.7785
"batch8","LCVA","congenital malformation",0.0248517258280577,0.00606215600283867,0.0556487712291032,0.0910891089108911,0.8044
"batch8","LCVA","infection",0.0174765595934351,0.00200820469581682,0.0426190291056049,0.0257425742574257,0.8044
"batch8","LCVA","IPRE",0.745025104395037,0.678467378543487,0.802904792773571,0.562376237623762,0.8044
"batch8","LCVA","other",0.0094205724953843,0.000852647680112371,0.0251058255064623,0.0514851485148515,0.8044
"batch8","LCVA","pneumonia",0.0273055275392502,0.00745778378312335,0.052396747978124,0.0178217821782178,0.8044
"batch8","LCVA","prematurity",0.117267624258517,0.0800838509159337,0.16070765435103,0.154455445544554,0.8044
"batch8","LCVA","sepsis",0.0558871232000435,0.0268976526472437,0.0942443139104898,0.0633663366336634,0.8044
"batch8","LCVA","undetermined",0.00276576269027551,8.86767887748062e-05,0.00983916730313315,0.0336633663366337,0.8044
