"dataset","target","shift","method","phi_source","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1011,0.278053624627607,0.363629079649004,0.389566520378761
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1012,0.408142999006951,0.397903333366725,0.649811748188774
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1013,0.35253227408143,0.33104900318378,0.516691677489319
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1014,0.365441906653426,0.342993463284331,0.625673960266013
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1015,0.394240317775571,0.399299389218224,0.633077296820404
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1016,0.419066534260179,0.342686267548548,0.671105229096054
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1017,0.324726911618669,0.301525593440237,0.611852822019552
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1018,0.426017874875869,0.288656369195563,0.588893205428452
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1019,0.414101290963257,0.385108291748686,0.645007215681187
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1020,0.449851042701092,0.382471587728265,0.660809883697906
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1021,0.204568023833168,0.325193360971812,0.473545626735128
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1022,0.455809334657398,0.337058058036527,0.548744193392192
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1023,0.323733862959285,0.414831533290764,0.500248797069736
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1024,0.288977159880834,0.318224487463109,0.469697836627139
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1025,0.35253227408143,0.304404049785091,0.524920529416093
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1026,0.336643495531281,0.34281333623047,0.564444249371351
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1027,0.34558093346574,0.316579355153882,0.458949163765323
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1028,0.379344587884806,0.37936273166412,0.595661127094159
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1029,0.316782522343595,0.345387143359439,0.45269181272481
"PHMRC","Bohol","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1030,0.384309831181728,0.387471507536513,0.6107044432538
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1001,0.183200579290369,0.193257768299362,0.320201837561848
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1002,0.292541636495293,0.335442248071429,0.413372640921432
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1003,0.469225199131064,0.338572916446802,0.614156354531588
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1004,0.250543084721217,0.272795291405943,0.383138348583365
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1005,0.220854453294714,0.228879842183646,0.332361125712149
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1006,0.419985517740768,0.268363055036274,0.617629308274548
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1007,0.274438812454743,0.220555906668885,0.400144887907558
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1008,0.257784214337437,0.279540495815288,0.426252716985644
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1009,0.294713975380159,0.299770129199459,0.391802887786671
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1010,0.242577842143374,0.270886565088495,0.357958043474537
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1011,0.281679942070963,0.254757028743469,0.419374086125649
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1012,0.153511947863867,0.234267636625209,0.235775460024568
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1013,0.204199855177408,0.223795101972912,0.316931234578844
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1014,0.162201303403331,0.199663439669731,0.325855840321704
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1015,0.339608979000724,0.257865477175027,0.454502705882364
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1016,0.354815351194786,0.313800625393357,0.581642283791465
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1017,0.31643736422882,0.24078709571509,0.447675790059539
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1018,0.273714699493121,0.294652696074648,0.368944194373754
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1019,0.335988414192614,0.236131700282015,0.463739525937332
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1020,0.394641564083997,0.304554957966511,0.594377861896985
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1021,0.249094858797972,0.255126802344072,0.411073617210614
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1022,0.35264301230992,0.323861926476106,0.526903086891783
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1023,0.318609703113686,0.251124316241443,0.425052738546775
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1024,0.355539464156408,0.249293856001551,0.440592904661889
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1025,0.342505430847212,0.232694714214457,0.412635632127263
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1026,0.261404779145547,0.224211902795724,0.475583455943382
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1027,0.278783490224475,0.247662359153547,0.383763909779193
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1028,0.265025343953657,0.296210214260738,0.383495187928257
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1029,0.313540912382332,0.247081827829782,0.436805449579903
"PHMRC","Dar","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1030,0.268645908761767,0.230942007578995,0.4841679649375
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1001,0.329393223010244,0.325023547073133,0.526471970870278
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1002,0.31284475965327,0.369758160662191,0.518162156690304
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1003,0.385342789598109,0.367680031614279,0.585032467817419
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1004,0.355397951142632,0.367881758371932,0.551039943906652
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1005,0.282899921197794,0.324834470818677,0.476922651649371
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1006,0.407407407407407,0.36611858097842,0.582830644297105
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1007,0.335697399527187,0.344551358689383,0.647960896989274
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1008,0.390070921985816,0.359376903306898,0.702652806875441
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1009,0.356973995271868,0.359823088927932,0.50413967009965
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1010,0.391646966115051,0.318841840072478,0.560635362568706
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1011,0.271079590228526,0.321543931075636,0.60143241753762
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1012,0.437352245862884,0.347789965423521,0.672838629372976
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1013,0.356973995271868,0.324259255678997,0.570851161570559
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1014,0.322301024428684,0.311150240210302,0.542292265014688
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1015,0.330181245074862,0.277386744973676,0.56197175468227
