"dataset","target","shift","method","phi_source","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1013,0.253968253968254,0.222948846205149,0.451489691553928
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1014,0.23015873015873,0.18992673992674,0.412646010372582
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1015,0.154761904761905,0.145501861221942,0.429201651904319
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1016,0.257936507936508,0.203628762110905,0.522976016545732
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1017,0.150793650793651,0.143367003367003,0.405663615371477
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1018,0.162698412698413,0.200761853727371,0.386845810793923
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1019,0.198412698412698,0.2122931161712,0.413484106398333
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1020,0.25,0.193743333960725,0.462650120895034
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1021,0.107142857142857,0.194152661064426,0.343035778015604
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1022,0.301587301587302,0.178567906452522,0.555061528498664
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1023,0.238095238095238,0.205255102040816,0.494751309167261
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1024,0.0952380952380952,0.267705627705628,0.259733965892624
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1025,0.126984126984127,0.148955627705628,0.36966679240837
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1026,0.19047619047619,0.182786031112603,0.374747447166805
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1027,0.186507936507937,0.242155858097887,0.442069651819448
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1028,0.26984126984127,0.224197521055141,0.537260098599599
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1029,0.154761904761905,0.173046996576408,0.344489331480091
"PHMRC","Bohol","mild","bfl_mix","LCVA","gibbs_dir","batch1",1030,0.162698412698413,0.154801535999015,0.367416735053853
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1001,0.150724637681159,0.202676484338476,0.391435585923599
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1002,0.139130434782609,0.153406272546898,0.368908541059496
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1003,0.23768115942029,0.229402034280083,0.406749836085698
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1004,0.130434782608696,0.228041218041218,0.312370613686869
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1005,0.150724637681159,0.190121086642826,0.371865103549104
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1006,0.127536231884058,0.206042913443293,0.313379306368311
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1007,0.246376811594203,0.190687567640693,0.542948713935755
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1008,0.171014492753623,0.17176939934377,0.401781138536222
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1009,0.2,0.227652635755403,0.368000271838687
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1010,0.115942028985507,0.241579861111111,0.285026816887198
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1011,0.194202898550725,0.230742357446143,0.438212288887506
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1012,0.197101449275362,0.222511632048799,0.425087188187414
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1013,0.0898550724637681,0.19982076585695,0.293849675627748
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1014,0.197101449275362,0.287140200907949,0.392628849816324
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1015,0.165217391304348,0.174631771737035,0.388607517950183
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1016,0.110144927536232,0.1480120371642,0.360833248683895
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1017,0.231884057971014,0.241072152999131,0.455648627062219
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1018,0.072463768115942,0.251512376512377,0.285884474423974
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1019,0.344927536231884,0.301812818513186,0.58050788370033
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1020,0.278260869565217,0.212998706274568,0.49167162431643
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1021,0.12463768115942,0.165019367605575,0.315501898559319
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1022,0.191304347826087,0.25514763014763,0.434791011737457
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1023,0.211594202898551,0.217377860235003,0.382921687712016
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1024,0.278260869565217,0.222853535353535,0.515472737075347
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1025,0.214492753623188,0.229873586295488,0.367630531161961
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1026,0.211594202898551,0.193819084141665,0.434011721094894
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1027,0.2,0.304657257427931,0.427352722868986
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1028,0.23768115942029,0.239290759016854,0.440658925748292
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1029,0.139130434782609,0.187854275186399,0.344777530543095
"PHMRC","Dar","mild","bfl_mix","LCVA","gibbs_dir","batch1",1030,0.194202898550725,0.260301509267675,0.355592748130783
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1001,0.230283911671924,0.225468344029354,0.50786429350434
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1002,0.217665615141956,0.214834576781964,0.492116450877885
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1003,0.249211356466877,0.287142128058277,0.480972455828502
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1004,0.315457413249211,0.246412425416738,0.627348452885552
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1005,0.195583596214511,0.251195601707658,0.491703057340663
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1006,0.167192429022082,0.268965230172127,0.40478090031889
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1007,0.186119873817035,0.245351683678422,0.480572308182942
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1008,0.375394321766562,0.241552197802198,0.671534373110523
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1009,0.20820189274448,0.286872056514914,0.421527665573882
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1010,0.233438485804416,0.22328421828047,0.50696076474321
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1011,0.249211356466877,0.248444079118742,0.55957226135301
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1012,0.350157728706625,0.281966949272441,0.615932904149935
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1013,0.151419558359621,0.192470512926064,0.443222863155281
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1014,0.192429022082019,0.233498086910065,0.510304993809232
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1015,0.26813880126183,0.29766081871345,0.578189785159811
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1016,0.312302839116719,0.260830602067015,0.623674053493982
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1017,0.170347003154574,0.189496766552182,0.437496113748259
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1018,0.157728706624606,0.235781752617452,0.439468515694182
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1019,0.331230283911672,0.240098837943666,0.634208218589117
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1020,0.287066246056782,0.279665420946934,0.539152362546814
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1021,0.20820189274448,0.284484509388724,0.440300506880501
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1022,0.227129337539432,0.27704024370691,0.558551398814668
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1023,0.151419558359621,0.217700545564761,0.373931035913326
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1024,0.198738170347003,0.324635457384784,0.4628512083435
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1025,0.217665615141956,0.271310602759077,0.429881131308799
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1026,0.271293375394322,0.236891656429472,0.589828056583462
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1027,0.261829652996845,0.210116203381923,0.525791135113454
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1028,0.189274447949527,0.207573487386831,0.478205561291278
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1029,0.230283911671924,0.2941360803819,0.461414993412812
"PHMRC","Mexico","mild","bfl_mix","LCVA","gibbs_dir","batch1",1030,0.261829652996845,0.293211910284017,0.547479895199016
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1001,0.491525423728814,0.453174603174603,0.519672668481191
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1002,0.322033898305085,0.386446886446886,0.558301557303317
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1003,0.322033898305085,0.264785214785215,0.407627742368938
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1004,0.389830508474576,0.605555555555556,0.409557868750532
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1005,0.372881355932203,0.365967365967366,0.473398148637132
