"dataset","method","frac","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8050,0.633663366336634,0.243872253167836,0.778914083121134
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8051,0.633663366336634,0.243872253167836,0.778549597138121
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8052,0.633663366336634,0.243872253167836,0.777786396151794
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8053,0.633663366336634,0.243872253167836,0.777690078287927
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8054,0.633663366336634,0.243872253167836,0.777877988261364
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8055,0.633663366336634,0.243872253167836,0.778284675524602
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8056,0.633663366336634,0.243872253167836,0.778366069745046
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8057,0.633663366336634,0.243872253167836,0.778263969674273
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8058,0.633663366336634,0.243872253167836,0.778188288712315
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8059,0.633663366336634,0.243872253167836,0.778253419974776
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8060,0.633663366336634,0.243872253167836,0.778137898032576
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8061,0.633663366336634,0.243872253167836,0.778252581961055
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8062,0.633663366336634,0.243872253167836,0.778115402405292
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8063,0.633663366336634,0.243872253167836,0.778111138654099
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8064,0.633663366336634,0.243872253167836,0.778346946844966
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8065,0.633663366336634,0.243872253167836,0.778374815664273
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8066,0.633663366336634,0.243872253167836,0.778592880043572
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8067,0.633663366336634,0.243872253167836,0.778532861566128
