"target","variant","cause","domain","lambda"
"Mexico","BFL_base","TB","Dar",0.0674930280929056
"Mexico","BFL_base","Suicide","Dar",0.248606665231922
"Mexico","BFL_base","Other Injuries","Dar",0.194677896078975
"Mexico","BFL_base","Cervical Cancer","Dar",0.568391470137202
"Mexico","BFL_base","Malaria","Dar",0.253771186485875
"Mexico","BFL_base","Asthma","Dar",0.192636154354448
"Mexico","BFL_base","Diarrhea/Dysentery","Dar",0.172499721143927
"Mexico","BFL_base","Colorectal Cancer","Dar",0.0943022468941237
"Mexico","BFL_base","Homicide","Dar",0.0183821428791109
"Mexico","BFL_base","Breast Cancer","Dar",0.114851283147476
"Mexico","BFL_base","Leukemia/Lymphomas","Dar",0.0381634361542188
"Mexico","BFL_base","Poisonings","Dar",0.134559192050243
"Mexico","BFL_base","Prostate Cancer","Dar",0.351142041476465
"Mexico","BFL_base","Esophageal Cancer","Dar",0.345103480405097
"Mexico","BFL_base","Stomach Cancer","Dar",0.390304729111613
"Mexico","BFL_base","Cirrhosis","Pemba",0
"Mexico","BFL_base","Epilepsy","Pemba",0
"Mexico","BFL_base","Pneumonia","Pemba",0.107803049015489
"Mexico","BFL_base","COPD","Pemba",0
"Mexico","BFL_base","Acute Myocardial Infarction","Pemba",0
"Mexico","BFL_base","Fires","Pemba",0.186168527974995
"Mexico","BFL_base","Renal Failure","Pemba",0
"Mexico","BFL_base","AIDS","Pemba",0
"Mexico","BFL_base","Lung Cancer","Pemba",0
"Mexico","BFL_base","Maternal","Pemba",0.318455535700689
"Mexico","BFL_base","Drowning","Pemba",0.230244697372285
"Mexico","BFL_base","Other Cardiovascular Diseases","Pemba",0
"Mexico","BFL_base","Other Non-communicable Diseases","Pemba",0.235538831358363
"Mexico","BFL_base","Falls","Pemba",0.113625778783148
"Mexico","BFL_base","Stroke","Pemba",0
"Mexico","BFL_base","Road Traffic","Pemba",0.0248606525705896
"Mexico","BFL_base","Bite of Venomous Animal","Pemba",0
"Mexico","BFL_base","Diabetes","Pemba",0.309147079887041
"Mexico","BFL_base","Other Infectious Diseases","Pemba",0.0125698763471789
"Mexico","BFL_base","TB","Pemba",0.202974297268953
"Mexico","BFL_base","Suicide","Pemba",0.131745452623229
"Mexico","BFL_base","Other Injuries","Pemba",0.182405194461865
"Mexico","BFL_base","Cervical Cancer","Pemba",0
"Mexico","BFL_base","Malaria","Pemba",0.244765769245877
"Mexico","BFL_base","Asthma","Pemba",0.192214404687976
"Mexico","BFL_base","Diarrhea/Dysentery","Pemba",0.245470906720956
"Mexico","BFL_base","Colorectal Cancer","Pemba",0
"Mexico","BFL_base","Homicide","Pemba",0.0222937322490191
"Mexico","BFL_base","Breast Cancer","Pemba",0
"Mexico","BFL_base","Leukemia/Lymphomas","Pemba",0
"Mexico","BFL_base","Poisonings","Pemba",0.129295179653401
"Mexico","BFL_base","Prostate Cancer","Pemba",0
"Mexico","BFL_base","Esophageal Cancer","Pemba",0
"Mexico","BFL_base","Stomach Cancer","Pemba",0
"Mexico","BFL_base","Cirrhosis","UP",0.0590372562300781
"Mexico","BFL_base","Epilepsy","UP",0.211456958767803
"Mexico","BFL_base","Pneumonia","UP",0.597328208601414
"Mexico","BFL_base","COPD","UP",0.677850353749637
"Mexico","BFL_base","Acute Myocardial Infarction","UP",0.0748294548103248
"Mexico","BFL_base","Fires","UP",0.184599012096651
"Mexico","BFL_base","Renal Failure","UP",0.59089157962681
"Mexico","BFL_base","AIDS","UP",0.450547565526677
"Mexico","BFL_base","Lung Cancer","UP",0.275468344429401
"Mexico","BFL_base","Maternal","UP",0.288969629452538
"Mexico","BFL_base","Drowning","UP",0.183007646923928
"Mexico","BFL_base","Other Cardiovascular Diseases","UP",0.0220509219315969
"Mexico","BFL_base","Other Non-communicable Diseases","UP",0.00900091022238166
"Mexico","BFL_base","Falls","UP",0.0399668297050996
"Mexico","BFL_base","Stroke","UP",0.45074678600975
"Mexico","BFL_base","Road Traffic","UP",0.0345911765156693
"Mexico","BFL_base","Bite of Venomous Animal","UP",0.335899037600911
"Mexico","BFL_base","Diabetes","UP",0.031142748088168
"Mexico","BFL_base","Other Infectious Diseases","UP",0.663562944347698
"Mexico","BFL_base","TB","UP",0.119289182318527
"Mexico","BFL_base","Suicide","UP",0.312221074620621
"Mexico","BFL_base","Other Injuries","UP",0.202930924683533
"Mexico","BFL_base","Cervical Cancer","UP",0.0346347394244371
"Mexico","BFL_base","Malaria","UP",0.247902344078888
"Mexico","BFL_base","Asthma","UP",0.187816885745978
"Mexico","BFL_base","Diarrhea/Dysentery","UP",0.195128297555197
"Mexico","BFL_base","Colorectal Cancer","UP",0
"Mexico","BFL_base","Homicide","UP",0.028505199667977
"Mexico","BFL_base","Breast Cancer","UP",0.169669612690332
"Mexico","BFL_base","Leukemia/Lymphomas","UP",0.0221481559478656
"Mexico","BFL_base","Poisonings","UP",0.398156891593364
"Mexico","BFL_base","Prostate Cancer","UP",0
"Mexico","BFL_base","Esophageal Cancer","UP",0
"Mexico","BFL_base","Stomach Cancer","UP",0
"Mexico","BFL_partial","Cirrhosis","AP",0.215358437128038
"Mexico","BFL_partial","Epilepsy","AP",0.267716141991911
"Mexico","BFL_partial","Pneumonia","AP",0.0713364652784154
"Mexico","BFL_partial","COPD","AP",0.0666807412985414
"Mexico","BFL_partial","Acute Myocardial Infarction","AP",0.380783297775991
"Mexico","BFL_partial","Fires","AP",0.444099928924204
"Mexico","BFL_partial","Renal Failure","AP",0.212996897211674
"Mexico","BFL_partial","AIDS","AP",0.513655005601971
"Mexico","BFL_partial","Lung Cancer","AP",0.0569305976636476
"Mexico","BFL_partial","Maternal","AP",0.0739146908038006
"Mexico","BFL_partial","Drowning","AP",0.23229008714635
"Mexico","BFL_partial","Other Cardiovascular Diseases","AP",0.0334344787082235
"Mexico","BFL_partial","Other Non-communicable Diseases","AP",0.157225433005156
"Mexico","BFL_partial","Falls","AP",0.727965940492466
"Mexico","BFL_partial","Stroke","AP",0.157741386015486
"Mexico","BFL_partial","Road Traffic","AP",0.830852418562801
"Mexico","BFL_partial","Bite of Venomous Animal","AP",0.504139199703815
"Mexico","BFL_partial","Diabetes","AP",0.302091014145412
"Mexico","BFL_partial","Other Infectious Diseases","AP",0.0175582200213607
"Mexico","BFL_partial","TB","AP",0.41049295261569
"Mexico","BFL_partial","Suicide","AP",0.155999827476638
"Mexico","BFL_partial","Other Injuries","AP",0.214035300729991
"Mexico","BFL_partial","Cervical Cancer","AP",0.0351291862238101
