"target","variant","cause","domain","lambda"
"Bohol","BFL_base","TB","Dar",0.0405450274370075
"Bohol","BFL_base","Suicide","Dar",0.0691645006864786
"Bohol","BFL_base","Other Injuries","Dar",0.222788363323185
"Bohol","BFL_base","Cervical Cancer","Dar",0.248663936490928
"Bohol","BFL_base","Malaria","Dar",0.233985233324554
"Bohol","BFL_base","Asthma","Dar",0.19533376680569
"Bohol","BFL_base","Diarrhea/Dysentery","Dar",0.0904501587149583
"Bohol","BFL_base","Colorectal Cancer","Dar",0.277337631082118
"Bohol","BFL_base","Homicide","Dar",0.19186880945456
"Bohol","BFL_base","Breast Cancer","Dar",0.283279843208727
"Bohol","BFL_base","Leukemia/Lymphomas","Dar",0.0483981777425402
"Bohol","BFL_base","Poisonings","Dar",0.175161915782095
"Bohol","BFL_base","Prostate Cancer","Dar",0.337046934907076
"Bohol","BFL_base","Esophageal Cancer","Dar",0.517108815107229
"Bohol","BFL_base","Stomach Cancer","Dar",0.262536431153963
"Bohol","BFL_base","Cirrhosis","Pemba",0
"Bohol","BFL_base","Epilepsy","Pemba",0
"Bohol","BFL_base","Pneumonia","Pemba",0.00923778758346281
"Bohol","BFL_base","COPD","Pemba",0
"Bohol","BFL_base","Acute Myocardial Infarction","Pemba",0
"Bohol","BFL_base","Fires","Pemba",0.16691737851608
"Bohol","BFL_base","Renal Failure","Pemba",0
"Bohol","BFL_base","AIDS","Pemba",0
"Bohol","BFL_base","Lung Cancer","Pemba",0
"Bohol","BFL_base","Maternal","Pemba",0.0759698972087158
"Bohol","BFL_base","Drowning","Pemba",0.234966607648278
"Bohol","BFL_base","Other Cardiovascular Diseases","Pemba",0
"Bohol","BFL_base","Other Non-communicable Diseases","Pemba",0.00950105113650784
"Bohol","BFL_base","Falls","Pemba",0.113751573268535
"Bohol","BFL_base","Stroke","Pemba",0
"Bohol","BFL_base","Road Traffic","Pemba",0.0198924173218827
"Bohol","BFL_base","Bite of Venomous Animal","Pemba",0
"Bohol","BFL_base","Diabetes","Pemba",0.0221976114242254
"Bohol","BFL_base","Other Infectious Diseases","Pemba",0.116304637247187
"Bohol","BFL_base","TB","Pemba",0.0144945162047155
"Bohol","BFL_base","Suicide","Pemba",0.0626394571233715
"Bohol","BFL_base","Other Injuries","Pemba",0.180672636507472
"Bohol","BFL_base","Cervical Cancer","Pemba",0
"Bohol","BFL_base","Malaria","Pemba",0.229900202590428
"Bohol","BFL_base","Asthma","Pemba",0.19691886461806
"Bohol","BFL_base","Diarrhea/Dysentery","Pemba",0.0883707201308623
"Bohol","BFL_base","Colorectal Cancer","Pemba",0
"Bohol","BFL_base","Homicide","Pemba",0.0163694098315731
"Bohol","BFL_base","Breast Cancer","Pemba",0
"Bohol","BFL_base","Leukemia/Lymphomas","Pemba",0
"Bohol","BFL_base","Poisonings","Pemba",0.175944301594767
"Bohol","BFL_base","Prostate Cancer","Pemba",0
"Bohol","BFL_base","Esophageal Cancer","Pemba",0
"Bohol","BFL_base","Stomach Cancer","Pemba",0
"Bohol","BFL_base","Cirrhosis","UP",0.0266831997139917
"Bohol","BFL_base","Epilepsy","UP",0.211442126001671
