"target","variant","cause","domain","lambda"
"Pemba","BFL_base","TB","Bohol",0.0808302214038498
"Pemba","BFL_base","Suicide","Bohol",0.19148619025523
"Pemba","BFL_base","Other Injuries","Bohol",0.0695595784884887
"Pemba","BFL_base","Cervical Cancer","Bohol",0.200195168394131
"Pemba","BFL_base","Malaria","Bohol",0
"Pemba","BFL_base","Asthma","Bohol",0.201447146131487
"Pemba","BFL_base","Diarrhea/Dysentery","Bohol",0.058116323956022
"Pemba","BFL_base","Colorectal Cancer","Bohol",0.247229392004344
"Pemba","BFL_base","Homicide","Bohol",0.177167339127247
"Pemba","BFL_base","Breast Cancer","Bohol",0.196807361142925
"Pemba","BFL_base","Leukemia/Lymphomas","Bohol",0.165572702807561
"Pemba","BFL_base","Poisonings","Bohol",0.200233210042216
"Pemba","BFL_base","Prostate Cancer","Bohol",0.249792450406786
"Pemba","BFL_base","Esophageal Cancer","Bohol",0.33451827972272
"Pemba","BFL_base","Stomach Cancer","Bohol",0.245961353787947
"Pemba","BFL_base","Cirrhosis","Dar",0.186775360137049
"Pemba","BFL_base","Epilepsy","Dar",0.194923783307055
"Pemba","BFL_base","Pneumonia","Dar",0.0698789339451404
"Pemba","BFL_base","COPD","Dar",0.135680284405662
"Pemba","BFL_base","Acute Myocardial Infarction","Dar",0.0322519457690165
"Pemba","BFL_base","Fires","Dar",0.166332017211079
"Pemba","BFL_base","Renal Failure","Dar",0.131662101360363
"Pemba","BFL_base","AIDS","Dar",0.1915402519247
"Pemba","BFL_base","Lung Cancer","Dar",0.198517406061168
"Pemba","BFL_base","Maternal","Dar",0.0216745554586702
"Pemba","BFL_base","Drowning","Dar",0.0158794043285976
"Pemba","BFL_base","Other Cardiovascular Diseases","Dar",0.15756573534701
"Pemba","BFL_base","Other Non-communicable Diseases","Dar",0.0976421719370318
"Pemba","BFL_base","Falls","Dar",0.0647307794581896
"Pemba","BFL_base","Stroke","Dar",0.0576992281309801
"Pemba","BFL_base","Road Traffic","Dar",0.189211182314764
"Pemba","BFL_base","Bite of Venomous Animal","Dar",0
"Pemba","BFL_base","Diabetes","Dar",0.0530249067730356
"Pemba","BFL_base","Other Infectious Diseases","Dar",0.0238353078548952
"Pemba","BFL_base","TB","Dar",0.107960157483946
"Pemba","BFL_base","Suicide","Dar",0.191247138205756
"Pemba","BFL_base","Other Injuries","Dar",0.07224334151482
"Pemba","BFL_base","Cervical Cancer","Dar",0.200416430896852
"Pemba","BFL_base","Malaria","Dar",0.300205496121576
"Pemba","BFL_base","Asthma","Dar",0.197000101756687
"Pemba","BFL_base","Diarrhea/Dysentery","Dar",0.12061792317821
"Pemba","BFL_base","Colorectal Cancer","Dar",0.244700187591945
"Pemba","BFL_base","Homicide","Dar",0.198332635269631
"Pemba","BFL_base","Breast Cancer","Dar",0.200583884131986
"Pemba","BFL_base","Leukemia/Lymphomas","Dar",0.166911637396167
"Pemba","BFL_base","Poisonings","Dar",0.196890772444574
"Pemba","BFL_base","Prostate Cancer","Dar",0.250026001497119
"Pemba","BFL_base","Esophageal Cancer","Dar",0.335667778244463
"Pemba","BFL_base","Stomach Cancer","Dar",0.249173848517711
"Pemba","BFL_base","Cirrhosis","UP",0.200789719127145
"Pemba","BFL_base","Epilepsy","UP",0.193144262112818
"Pemba","BFL_base","Pneumonia","UP",0.451004811532876
"Pemba","BFL_base","COPD","UP",0.241212133136126
"Pemba","BFL_base","Acute Myocardial Infarction","UP",0.0356803365164042
"Pemba","BFL_base","Fires","UP",0.169574910091372
"Pemba","BFL_base","Renal Failure","UP",0.152948234883408
"Pemba","BFL_base","AIDS","UP",0.190222313863341
"Pemba","BFL_base","Lung Cancer","UP",0.197490662716566
"Pemba","BFL_base","Maternal","UP",0.595836063231094
"Pemba","BFL_base","Drowning","UP",0.518198380643114
"Pemba","BFL_base","Other Cardiovascular Diseases","UP",0.181736813054443
"Pemba","BFL_base","Other Non-communicable Diseases","UP",0.120791820356464
"Pemba","BFL_base","Falls","UP",0.724159565741089
"Pemba","BFL_base","Stroke","UP",0.129906325170392
"Pemba","BFL_base","Road Traffic","UP",0.437397779506722
"Pemba","BFL_base","Bite of Venomous Animal","UP",0.251287086919376
"Pemba","BFL_base","Diabetes","UP",0.0543098647531649
"Pemba","BFL_base","Other Infectious Diseases","UP",0.898063180078805
"Pemba","BFL_base","TB","UP",0.0723996001580947
"Pemba","BFL_base","Suicide","UP",0.204450609776397
"Pemba","BFL_base","Other Injuries","UP",0.444961254502479
"Pemba","BFL_base","Cervical Cancer","UP",0.199511295139893
"Pemba","BFL_base","Malaria","UP",0.362638512121544
"Pemba","BFL_base","Asthma","UP",0.197786805870017
"Pemba","BFL_base","Diarrhea/Dysentery","UP",0.187465697467528
"Pemba","BFL_base","Colorectal Cancer","UP",0
"Pemba","BFL_base","Homicide","UP",0.248210678222865
"Pemba","BFL_base","Breast Cancer","UP",0.198873264241278
"Pemba","BFL_base","Leukemia/Lymphomas","UP",0.169645641468013
"Pemba","BFL_base","Poisonings","UP",0.201967446396505
"Pemba","BFL_base","Prostate Cancer","UP",0
"Pemba","BFL_base","Esophageal Cancer","UP",0
"Pemba","BFL_base","Stomach Cancer","UP",0
"Pemba","BFL_partial","Cirrhosis","Mexico",0.19850447360275
"Pemba","BFL_partial","Epilepsy","Mexico",0.19787594735899
"Pemba","BFL_partial","Pneumonia","Mexico",0.147952177698066
"Pemba","BFL_partial","COPD","Mexico",0.20947694315799
"Pemba","BFL_partial","Acute Myocardial Infarction","Mexico",0.0628571538070578
"Pemba","BFL_partial","Fires","Mexico",0.120712049809415
"Pemba","BFL_partial","Renal Failure","Mexico",0.21239468108873
"Pemba","BFL_partial","AIDS","Mexico",0.253660423498452
"Pemba","BFL_partial","Lung Cancer","Mexico",0.209541335449856
"Pemba","BFL_partial","Maternal","Mexico",0.0275563725317322
"Pemba","BFL_partial","Drowning","Mexico",0
"Pemba","BFL_partial","Other Cardiovascular Diseases","Mexico",0.199229549150539
"Pemba","BFL_partial","Other Non-communicable Diseases","Mexico",0.106848652242134
"Pemba","BFL_partial","Falls","Mexico",0.0568152722828381
"Pemba","BFL_partial","Stroke","Mexico",0.0703749262921386
"Pemba","BFL_partial","Road Traffic","Mexico",0.0628871377193206
"Pemba","BFL_partial","Bite of Venomous Animal","Mexico",0.245528917743467
"Pemba","BFL_partial","Diabetes","Mexico",0.102816538560735
"Pemba","BFL_partial","Other Infectious Diseases","Mexico",0.0392078252720022
"Pemba","BFL_partial","TB","Mexico",0.0798190272835758
"Pemba","BFL_partial","Suicide","Mexico",0.157889127733643
"Pemba","BFL_partial","Other Injuries","Mexico",0.0843669546888942
"Pemba","BFL_partial","Cervical Cancer","Mexico",0.201068639186455
"Pemba","BFL_partial","Malaria","Mexico",0
"Pemba","BFL_partial","Asthma","Mexico",0.165489089333569
"Pemba","BFL_partial","Diarrhea/Dysentery","Mexico",0.0605145756381811
"Pemba","BFL_partial","Colorectal Cancer","Mexico",0.255460373106397
"Pemba","BFL_partial","Homicide","Mexico",0.153671890098699
"Pemba","BFL_partial","Breast Cancer","Mexico",0.205702449302274
"Pemba","BFL_partial","Leukemia/Lymphomas","Mexico",0.33501320508043
"Pemba","BFL_partial","Poisonings","Mexico",0.162704692853393
"Pemba","BFL_partial","Prostate Cancer","Mexico",0.252129116979526
"Pemba","BFL_partial","Esophageal Cancer","Mexico",0
"Pemba","BFL_partial","Stomach Cancer","Mexico",0.251525321829967
"Pemba","BFL_partial","Cirrhosis","AP",0.215659892979403
"Pemba","BFL_partial","Epilepsy","AP",0.206666091575184
"Pemba","BFL_partial","Pneumonia","AP",0.263413963094313
"Pemba","BFL_partial","COPD","AP",0.222695022266517
"Pemba","BFL_partial","Acute Myocardial Infarction","AP",0.810115190183513
"Pemba","BFL_partial","Fires","AP",0.497419649252738
"Pemba","BFL_partial","Renal Failure","AP",0.321894703065922
"Pemba","BFL_partial","AIDS","AP",0.338675263565145
"Pemba","BFL_partial","Lung Cancer","AP",0.19805271654309
"Pemba","BFL_partial","Maternal","AP",0.346999403639472
"Pemba","BFL_partial","Drowning","AP",0.42332729562131
"Pemba","BFL_partial","Other Cardiovascular Diseases","AP",0.213401586127689
"Pemba","BFL_partial","Other Non-communicable Diseases","AP",0.787245391466728
"Pemba","BFL_partial","Falls","AP",0.0757289789180219
"Pemba","BFL_partial","Stroke","AP",0.672882002254227
"Pemba","BFL_partial","Road Traffic","AP",0.191515345275809
"Pemba","BFL_partial","Bite of Venomous Animal","AP",0.251387146064822
"Pemba","BFL_partial","Diabetes","AP",0.756136365557734
"Pemba","BFL_partial","Other Infectious Diseases","AP",0.0361051005504647
"Pemba","BFL_partial","TB","AP",0.653057354785496
"Pemba","BFL_partial","Suicide","AP",0.223005986004732
"Pemba","BFL_partial","Other Injuries","AP",0.240177011643219
"Pemba","BFL_partial","Cervical Cancer","AP",0.201395625057065
"Pemba","BFL_partial","Malaria","AP",0.324175697380502
"Pemba","BFL_partial","Asthma","AP",0.338324624655511
"Pemba","BFL_partial","Diarrhea/Dysentery","AP",0.6514499362299
"Pemba","BFL_partial","Colorectal Cancer","AP",0.24573222224324
"Pemba","BFL_partial","Homicide","AP",0.206765647724229
"Pemba","BFL_partial","Breast Cancer","AP",0.198138145277741
"Pemba","BFL_partial","Leukemia/Lymphomas","AP",0.163527640445642
"Pemba","BFL_partial","Poisonings","AP",0.182469082902884
"Pemba","BFL_partial","Prostate Cancer","AP",0.24552501625934
"Pemba","BFL_partial","Esophageal Cancer","AP",0.332827681654497
"Pemba","BFL_partial","Stomach Cancer","AP",0.248295483198798
"Pemba","BFL_partial","Cirrhosis","Bohol",0.193960423355456
"Pemba","BFL_partial","Epilepsy","Bohol",0.195960179486881
"Pemba","BFL_partial","Pneumonia","Bohol",0.0330217351383016
"Pemba","BFL_partial","COPD","Bohol",0.172689922366905
"Pemba","BFL_partial","Acute Myocardial Infarction","Bohol",0.0417713151307142
"Pemba","BFL_partial","Fires","Bohol",0.122688232229143
"Pemba","BFL_partial","Renal Failure","Bohol",0.154029540903566
"Pemba","BFL_partial","AIDS","Bohol",0
"Pemba","BFL_partial","Lung Cancer","Bohol",0.198899052953124
"Pemba","BFL_partial","Maternal","Bohol",0.018798707782913
"Pemba","BFL_partial","Drowning","Bohol",0.0195256622350189
"Pemba","BFL_partial","Other Cardiovascular Diseases","Bohol",0.189557229381702
"Pemba","BFL_partial","Other Non-communicable Diseases","Bohol",0.0318898496898868
"Pemba","BFL_partial","Falls","Bohol",0.0553602419344017
"Pemba","BFL_partial","Stroke","Bohol",0.0700411837282588
