"target","variant","cause","domain","lambda"
"AP","BFL_base","Malaria","Dar",0.328296213107966
"AP","BFL_base","Asthma","Dar",0.201542915889548
"AP","BFL_base","Diarrhea/Dysentery","Dar",0.0732033382688047
"AP","BFL_base","Colorectal Cancer","Dar",0.263669838560968
"AP","BFL_base","Homicide","Dar",0.0953937794129371
"AP","BFL_base","Breast Cancer","Dar",0.246694444306256
"AP","BFL_base","Leukemia/Lymphomas","Dar",0.246196505803853
"AP","BFL_base","Poisonings","Dar",0.0274411328328757
"AP","BFL_base","Prostate Cancer","Dar",0.334325684815947
"AP","BFL_base","Esophageal Cancer","Dar",0.508846642907793
"AP","BFL_base","Stomach Cancer","Dar",0.218273338692297
"AP","BFL_base","Cirrhosis","Pemba",0
"AP","BFL_base","Epilepsy","Pemba",0
"AP","BFL_base","Pneumonia","Pemba",0.00303448537781302
"AP","BFL_base","COPD","Pemba",0
"AP","BFL_base","Acute Myocardial Infarction","Pemba",0
"AP","BFL_base","Fires","Pemba",0.0497751898944791
"AP","BFL_base","Renal Failure","Pemba",0
"AP","BFL_base","AIDS","Pemba",0
"AP","BFL_base","Lung Cancer","Pemba",0
"AP","BFL_base","Maternal","Pemba",0.0590699266776384
"AP","BFL_base","Drowning","Pemba",0.679358092663104
"AP","BFL_base","Other Cardiovascular Diseases","Pemba",0
"AP","BFL_base","Other Non-communicable Diseases","Pemba",0.0981428595184777
"AP","BFL_base","Falls","Pemba",0.640742814115034
"AP","BFL_base","Stroke","Pemba",0
"AP","BFL_base","Road Traffic","Pemba",0.0396480309540344
"AP","BFL_base","Bite of Venomous Animal","Pemba",0
"AP","BFL_base","Diabetes","Pemba",0.229496838697314
"AP","BFL_base","Other Infectious Diseases","Pemba",0.00977759277648711
"AP","BFL_base","TB","Pemba",0.0142716351293192
"AP","BFL_base","Suicide","Pemba",0.0159068618674603
"AP","BFL_base","Other Injuries","Pemba",0.03711762719188
"AP","BFL_base","Cervical Cancer","Pemba",0
"AP","BFL_base","Malaria","Pemba",0.325609575516925
"AP","BFL_base","Asthma","Pemba",0.20327553827385
"AP","BFL_base","Diarrhea/Dysentery","Pemba",0.22893090617174
"AP","BFL_base","Colorectal Cancer","Pemba",0
"AP","BFL_base","Homicide","Pemba",0.0351737786168182
"AP","BFL_base","Breast Cancer","Pemba",0
"AP","BFL_base","Leukemia/Lymphomas","Pemba",0
"AP","BFL_base","Poisonings","Pemba",0.0275695263171569
"AP","BFL_base","Prostate Cancer","Pemba",0
"AP","BFL_base","Esophageal Cancer","Pemba",0
"AP","BFL_base","Stomach Cancer","Pemba",0
"AP","BFL_base","Cirrhosis","UP",0.746589906698092
"AP","BFL_base","Epilepsy","UP",0.260861568327786
"AP","BFL_base","Pneumonia","UP",0.981295917391343
"AP","BFL_base","COPD","UP",0.959397057165802
"AP","BFL_base","Acute Myocardial Infarction","UP",0.927486621740761
"AP","BFL_base","Fires","UP",0.737139454305046
"AP","BFL_base","Renal Failure","UP",0.927873513186148
"AP","BFL_base","AIDS","UP",0.847755691961873
"AP","BFL_base","Lung Cancer","UP",0.179909932664297
"AP","BFL_base","Maternal","UP",0.910406589922522
"AP","BFL_base","Drowning","UP",0.280939519318545
"AP","BFL_base","Other Cardiovascular Diseases","UP",0.947677301411329
"AP","BFL_base","Other Non-communicable Diseases","UP",0.493508969521907
"AP","BFL_base","Falls","UP",0.0900106169535021
"AP","BFL_base","Stroke","UP",0.876265137865592
"AP","BFL_base","Road Traffic","UP",0.513543905705118
"AP","BFL_base","Bite of Venomous Animal","UP",0.807978045474492
"AP","BFL_base","Diabetes","UP",0.453142466297792
"AP","BFL_base","Other Infectious Diseases","UP",0.957209088824405
"AP","BFL_base","TB","UP",0.857346688770396
"AP","BFL_base","Suicide","UP",0.930092074919271
"AP","BFL_base","Other Injuries","UP",0.849759825813959
"AP","BFL_base","Cervical Cancer","UP",0.24592698644977
"AP","BFL_base","Malaria","UP",0.346094211375109
"AP","BFL_base","Asthma","UP",0.197763099343141
