"target","variant","cause","domain","lambda"
"Dar","BFL_base","Cervical Cancer","Bohol",0.0187885397278514
"Dar","BFL_base","Malaria","Bohol",0
"Dar","BFL_base","Asthma","Bohol",0.195412414833051
"Dar","BFL_base","Diarrhea/Dysentery","Bohol",0.0605412953865004
"Dar","BFL_base","Colorectal Cancer","Bohol",0.00991642699268185
"Dar","BFL_base","Homicide","Bohol",0.219526239106325
"Dar","BFL_base","Breast Cancer","Bohol",0.1003473239859
"Dar","BFL_base","Leukemia/Lymphomas","Bohol",0.240030747536192
"Dar","BFL_base","Poisonings","Bohol",0.178852127439783
"Dar","BFL_base","Prostate Cancer","Bohol",0.329978327948981
"Dar","BFL_base","Esophageal Cancer","Bohol",0.496845138111835
"Dar","BFL_base","Stomach Cancer","Bohol",0.252162001941509
"Dar","BFL_base","Cirrhosis","Pemba",0
"Dar","BFL_base","Epilepsy","Pemba",0
"Dar","BFL_base","Pneumonia","Pemba",0.327910774303492
"Dar","BFL_base","COPD","Pemba",0
"Dar","BFL_base","Acute Myocardial Infarction","Pemba",0
"Dar","BFL_base","Fires","Pemba",0.169719157894205
"Dar","BFL_base","Renal Failure","Pemba",0
"Dar","BFL_base","AIDS","Pemba",0
"Dar","BFL_base","Lung Cancer","Pemba",0
"Dar","BFL_base","Maternal","Pemba",0.449234771654223
"Dar","BFL_base","Drowning","Pemba",0.72657530882416
"Dar","BFL_base","Other Cardiovascular Diseases","Pemba",0
"Dar","BFL_base","Other Non-communicable Diseases","Pemba",0.592342332221446
"Dar","BFL_base","Falls","Pemba",0.274587371661601
"Dar","BFL_base","Stroke","Pemba",0
"Dar","BFL_base","Road Traffic","Pemba",0.00418278172243792
"Dar","BFL_base","Bite of Venomous Animal","Pemba",0
"Dar","BFL_base","Diabetes","Pemba",0.762349175080123
"Dar","BFL_base","Other Infectious Diseases","Pemba",0.0501186340592813
"Dar","BFL_base","TB","Pemba",0.0197049610894407
"Dar","BFL_base","Suicide","Pemba",0.0291968579083956
"Dar","BFL_base","Other Injuries","Pemba",0.194492443645513
"Dar","BFL_base","Cervical Cancer","Pemba",0
"Dar","BFL_base","Malaria","Pemba",0.312121772471157
"Dar","BFL_base","Asthma","Pemba",0.197198053145794
"Dar","BFL_base","Diarrhea/Dysentery","Pemba",0.686750561114931
"Dar","BFL_base","Colorectal Cancer","Pemba",0
"Dar","BFL_base","Homicide","Pemba",0.165700489047967
"Dar","BFL_base","Breast Cancer","Pemba",0
"Dar","BFL_base","Leukemia/Lymphomas","Pemba",0
"Dar","BFL_base","Poisonings","Pemba",0.176644999098581
"Dar","BFL_base","Prostate Cancer","Pemba",0
"Dar","BFL_base","Esophageal Cancer","Pemba",0
"Dar","BFL_base","Stomach Cancer","Pemba",0
"Dar","BFL_base","Cirrhosis","UP",0.125797564683849
"Dar","BFL_base","Epilepsy","UP",0.239237148555633
"Dar","BFL_base","Pneumonia","UP",0.0360879705936959
"Dar","BFL_base","COPD","UP",0.233071305553741
"Dar","BFL_base","Acute Myocardial Infarction","UP",0.11260699027827
"Dar","BFL_base","Fires","UP",0.183401378340113
"Dar","BFL_base","Renal Failure","UP",0.235732317679671
"Dar","BFL_base","AIDS","UP",0.00677201894456539
"Dar","BFL_base","Lung Cancer","UP",0.100339473995417
"Dar","BFL_base","Maternal","UP",0.0275448869175338
"Dar","BFL_base","Drowning","UP",0.00921806620180327
"Dar","BFL_base","Other Cardiovascular Diseases","UP",0.275891187633763
"Dar","BFL_base","Other Non-communicable Diseases","UP",0.00619151586537193
"Dar","BFL_base","Falls","UP",0.176200092302125
"Dar","BFL_base","Stroke","UP",0.283701505815871
"Dar","BFL_base","Road Traffic","UP",0.00617387554035241
"Dar","BFL_base","Bite of Venomous Animal","UP",0.247839004215907
"Dar","BFL_base","Diabetes","UP",0.0355022921660536
"Dar","BFL_base","Other Infectious Diseases","UP",0.764197994400048
"Dar","BFL_base","TB","UP",0.157851518857676
"Dar","BFL_base","Suicide","UP",0.0584147594330402
"Dar","BFL_base","Other Injuries","UP",0.207173680428552
"Dar","BFL_base","Cervical Cancer","UP",0.0142602073416033
"Dar","BFL_base","Malaria","UP",0.361437305687752
"Dar","BFL_base","Asthma","UP",0.193727502577727
"Dar","BFL_base","Diarrhea/Dysentery","UP",0.0984471410326506
"Dar","BFL_base","Colorectal Cancer","UP",0
"Dar","BFL_base","Homicide","UP",0.191307704609532
"Dar","BFL_base","Breast Cancer","UP",0.0132246064521586
"Dar","BFL_base","Leukemia/Lymphomas","UP",0.223161546407496
"Dar","BFL_base","Poisonings","UP",0.295090853267497
"Dar","BFL_base","Prostate Cancer","UP",0
